area,rooms,seat_type,rent_per_seat,bachelor_allowed,wifi,meal,location_link,contact
GEC,3,Single,8000,Yes,Yes,Yes,https://www.google.com/maps/search/mess+rent+in+GEC+Chittagong,FB: Mess Owner
GEC,3,Shared,5000,Yes,Yes,Yes,https://www.google.com/maps/search/mess+rent+in+GEC+Chittagong,FB: Mess Owner
Agrabad,2,Single,6500,Yes,No,Yes,https://www.google.com/maps/search/mess+rent+in+Agrabad+Chittagong,FB: Mess Owner
2No Gate,4,Shared,3500,Yes,Yes,No,https://www.google.com/maps/search/mess+rent+in+2+No+Gate+Chittagong,FB: Mess Owner
Oxygen,3,Shared,3000,Yes,No,Yes,https://www.google.com/maps/search/mess+rent+in+Oxygen+Chittagong,FB: Mess Owner
Bayezid,2,Single,5500,No,Yes,Yes,https://www.google.com/maps/search/mess+rent+in+Bayezid+Chittagong,FB: Mess Owner
GEC,2,Single,9000,Yes,Yes,Yes,https://www.google.com/maps/search/mess+rent+in+GEC+Chittagong,FB: Mess Owner
Agrabad,3,Shared,4500,Yes,Yes,No,https://www.google.com/maps/search/mess+rent+in+Agrabad+Chittagong,FB: Mess Owner
Oxygen,2,Single,4200,Yes,Yes,Yes,https://www.google.com/maps/search/mess+rent+in+Oxygen+Chittagong,FB: Mess Owner
Bayezid,3,Shared,3600,Yes,No,No,https://www.google.com/maps/search/mess+rent+in+Bayezid+Chittagong,FB: Mess Owner
2No Gate,3,Single,5200,Yes,Yes,No,https://www.google.com/maps/search/mess+rent+in+2+No+Gate+Chittagong,FB: Mess Owner
GEC,4,Shared,4800,Yes,Yes,Yes,https://www.google.com/maps/search/mess+rent+in+GEC+Chittagong,FB: Mess Owner
Agrabad,2,Shared,3800,No,No,Yes,https://www.google.com/maps/search/mess+rent+in+Agrabad+Chittagong,FB: Mess Owner
Oxygen,4,Shared,3200,Yes,Yes,No,https://www.google.com/maps/search/mess+rent+in+Oxygen+Chittagong,FB: Mess Owner
Bayezid,2,Shared,3000,Yes,No,Yes,https://www.google.com/maps/search/mess+rent+in+Bayezid+Chittagong,FB: Mess Owner
GEC,1,Single,11000,Yes,Yes,Yes,https://www.google.com/maps/search/mess+rent+in+GEC+Chittagong,FB: Mess Owner
Agrabad,4,Shared,4100,Yes,Yes,Yes,https://www.google.com/maps/search/mess+rent+in+Agrabad+Chittagong,FB: Mess Owner
Oxygen,3,Single,6000,Yes,No,Yes,https://www.google.com/maps/search/mess+rent+in+Oxygen+Chittagong,FB: Mess Owner
Bayezid,1,Single,4800,No,Yes,No,https://www.google.com/maps/search/mess+rent+in+Bayezid+Chittagong,FB: Mess Owner
2No Gate,2,Shared,2800,Yes,No,No,https://www.google.com/maps/search/mess+rent+in+2+No+Gate+Chittagong,FB: Mess Owner
GEC,2,Shared,6200,Yes,Yes,Yes,https://www.google.com/maps/search/mess+rent+in+GEC+Chittagong,FB: Mess Owner
Agrabad,3,Single,7200,Yes,No,Yes,https://www.google.com/maps/search/mess+rent+in+Agrabad+Chittagong,FB: Mess Owner
